"table_schema","table_name","table_size","table_size_p","indexes_size","indexes_size_p","total_size","total_size_p","row_count_approx","last_analyze","row_count_exact"
dwh_stage,s01_s_ordcash,6996885504,"6673 MB",754319360,"719 MB",7751204864,"7392 MB",14401067,2020-12-07 23:17:58,14501676
dwh_stage,s01_t_ord_1_prt_ord_681,5918294016,"5644 MB",1480982528,"1412 MB",7399276544,"7057 MB",0,,42218553
dwh_stage,s01_g_cliaddatr,4294868992,"4096 MB",2200338432,"2098 MB",6495207424,"6194 MB",43254833,2020-12-07 23:12:15,43331930
dwh_stage,s01_t_procmem_1_prt_pay,2478047232,"2363 MB",3998154752,"3813 MB",6476201984,"6176 MB",0,,36362292
dwh_dm,dm_z10_1_prt_101_2020_12_01,5909305064,"5636 MB",241860608,"231 MB",6151165672,"5866 MB",0,2020-09-28 18:26:52,4352564
dwh_stage,s01_t_bal_1_prt_no_flzo_2_prt_251_2020_11_01,5238489088,"4996 MB",756023296,"721 MB",5994512384,"5717 MB",12049204,2020-12-08 00:19:26,12049275
dwh_polygon,ref_account_09112020,5830377472,"5560 MB",0,"0 bytes",5830377472,"5560 MB",16959330,2020-11-09 16:11:43,16956541
dwh_stage,s01_t_trndtl_1_prt_232_2020_11_24,4484104192,"4276 MB",1210417152,"1154 MB",5694521344,"5431 MB",0,2020-10-08 13:18:28,3408323
dwh_stage,s01_t_trndtl_1_prt_230_2020_11_18,4312203264,"4112 MB",1204158464,"1148 MB",5516361728,"5261 MB",0,2020-10-08 13:18:28,3406979
dwh_dds,ref_account,3606183936,"3439 MB",1692860416,"1614 MB",5299044352,"5054 MB",10441552,2020-12-12 05:37:50,10443337
dwh_stage,s01_t_trndtl_1_prt_227_2020_11_09,4100718592,"3911 MB",1147568128,"1094 MB",5248286720,"5005 MB",1,2020-10-08 13:18:27,3400289
dwh_bckp,s01_led_acc_det_bkp_1_prt_229_2020_11_15,2484174848,"2369 MB",2481127424,"2366 MB",4965302272,"4735 MB",0,,11530931
dwh_bckp,s01_led_acc_det_bkp_1_prt_231_2020_11_21,2487615488,"2372 MB",2467332096,"2353 MB",4954947584,"4725 MB",0,,11546197
dwh_stage,s01_s_ordpay,4448518144,"4242 MB",360841216,"344 MB",4809359360,"4587 MB",6140686,2020-12-12 04:45:04,6142431
dwh_polygon,acc_anl_account_balance,4573534736,"4362 MB",0,"0 bytes",4573534736,"4362 MB",52659012,2020-10-08 15:57:36,52659012
dwh_stage,s01_t_trndtl_1_prt_229_2020_11_15,3512991744,"3350 MB",986021888,"940 MB",4499013632,"4291 MB",0,2020-10-08 13:18:28,2380552
dwh_stage,s01_t_trndtl_1_prt_234_2020_11_30,3519741952,"3357 MB",967540736,"923 MB",4487282688,"4279 MB",0,2020-10-08 13:18:28,2745754
dwh_stage,s01_g_accblnhst,2845540352,"2714 MB",1507033088,"1437 MB",4352573440,"4151 MB",12050037,2020-12-12 04:48:17,12051934
dwh_stage,s01_t_trndtl_1_prt_223_2020_10_28,3352002560,"3197 MB",947388416,"904 MB",4299390976,"4100 MB",0,2020-10-08 13:18:27,3347709
dwh_bckp,s01_led_acc_det_bkp_1_prt_237_2020_12_09,2142699520,"2043 MB",2110521344,"2013 MB",4253220864,"4056 MB",0,,11602397
dwh_bckp,s01_led_acc_det_bkp_1_prt_232_2020_11_24,2134179840,"2035 MB",2117304320,"2019 MB",4251484160,"4055 MB",0,,11556729
dwh_bckp,s01_led_acc_det_bkp_1_prt_235_2020_12_03,2139914240,"2041 MB",2111242240,"2013 MB",4251156480,"4054 MB",0,,11587256
dwh_stage,s01_g_iin,4250632192,"4054 MB",0,"0 bytes",4250632192,"4054 MB",26071365,2020-12-12 02:15:51,26073180
dwh_bckp,s01_led_acc_det_bkp_1_prt_234_2020_11_30,2137849856,"2039 MB",2110914560,"2013 MB",4248764416,"4052 MB",0,,11576131
dwh_bckp,s01_led_acc_det_bkp_1_prt_236_2020_12_06,2140897280,"2042 MB",2107637760,"2010 MB",4248535040,"4052 MB",0,,11592448
dwh_bckp,s01_led_acc_det_bkp_1_prt_233_2020_11_27,2135556096,"2037 MB",2107768832,"2010 MB",4243324928,"4047 MB",0,,11563780
dwh_bckp,s01_led_acc_det_bkp_1_prt_224_2020_10_31,2123268096,"2025 MB",2116452352,"2018 MB",4239720448,"4043 MB",0,,11497115
dwh_bckp,s01_led_acc_det_bkp_1_prt_230_2020_11_18,2131427328,"2033 MB",2101215232,"2004 MB",4232642560,"4037 MB",0,,11541371
dwh_bckp,s01_led_acc_det_bkp_1_prt_228_2020_11_12,2128674816,"2030 MB",2101673984,"2004 MB",4230348800,"4034 MB",0,,11526226
dwh_stage,s01_t_trndtl_1_prt_228_2020_11_12,3315597312,"3162 MB",914456576,"872 MB",4230053888,"4034 MB",0,2020-10-08 13:18:28,2223411
dwh_bckp,s01_led_acc_det_bkp_1_prt_226_2020_11_06,2126020608,"2028 MB",2102460416,"2005 MB",4228481024,"4033 MB",0,,11511923
dwh_bckp,s01_led_acc_det_bkp_1_prt_227_2020_11_09,2127167488,"2029 MB",2100166656,"2003 MB",4227334144,"4032 MB",0,,11518093
dwh_bckp,s01_led_acc_det_bkp_1_prt_225_2020_11_03,2124873728,"2026 MB",2094923776,"1998 MB",4219797504,"4024 MB",0,,11505622
